处理步骤,处理规则,处理前记录数,处理后记录数,影响记录数
删除完全重复行,移除整行完全一致的重复记录，重复样本无增量信息,5630,5630,0
填充数值字段缺失：Tenure,使用全量总体中位数填充，不按Churn分组，避免目标泄露,5630,5630,264
填充数值字段缺失：WarehouseToHome,使用全量总体中位数填充，不按Churn分组，避免目标泄露,5630,5630,251
填充数值字段缺失：HourSpendOnApp,使用全量总体中位数填充，不按Churn分组，避免目标泄露,5630,5630,255
填充数值字段缺失：OrderAmountHikeFromlastYear,使用全量总体中位数填充，不按Churn分组，避免目标泄露,5630,5630,265
填充数值字段缺失：CouponUsed,使用全量总体中位数填充，不按Churn分组，避免目标泄露,5630,5630,256
填充数值字段缺失：OrderCount,使用全量总体中位数填充，不按Churn分组，避免目标泄露,5630,5630,258
填充数值字段缺失：DaySinceLastOrder,使用全量总体中位数填充，不按Churn分组，避免目标泄露,5630,5630,307
类别标准化 PreferredLoginDevice: Phone → Mobile Phone,同义业务文本统一为标准取值，方便分组统计,5630,5630,1231
类别标准化 PreferredPaymentMode: COD → Cash on Delivery,同义业务文本统一为标准取值，方便分组统计,5630,5630,365
类别标准化 PreferredPaymentMode: CC → Credit Card,同义业务文本统一为标准取值，方便分组统计,5630,5630,273
类别标准化 PreferedOrderCat: Mobile → Mobile Phone,同义业务文本统一为标准取值，方便分组统计,5630,5630,809
类型转换：Churn 转为整数,流失/投诉二分类标签统一为整数类型，适配建模,5630,5630,0
类型转换：Complain 转为整数,流失/投诉二分类标签统一为整数类型，适配建模,5630,5630,0
